Flight Details,Flow Card?,Bags Checked,Meal Type,Date,Flight Number,Class,Price,From,To
2024-12-19//PA006//Tokyo-London//First Class//216,Yes,1,Egg Free,2024-12-19,PA006,First Class,216.0,Tokyo,London
2024-02-07//PA001//London-New York//Business Class//266.39999999999998,Yes,0,,2024-02-07,PA001,Business Class,266.4,London,New York
2024-01-24//PA012//Tokyo-Perth//Economy//3370,Yes,0,Vegan,2024-01-24,PA012,Economy,3370.0,Tokyo,Perth
2024-01-21//PA012//Tokyo-Perth//Business Class//422.39999999999998,Yes,0,Vegetarian,2024-01-21,PA012,Business Class,422.4,Tokyo,Perth
2024-04-18//PA003//London-Perth//First Class//350,Yes,1,Egg Free,2024-04-18,PA003,First Class,350.0,London,Perth
2024-07-11//PA011//Perth-Tokyo//First Class//237,Yes,2,Vegetarian,2024-07-11,PA011,First Class,237.0,Perth,Tokyo
2024-11-19//PA006//Tokyo-London//Premium Economy//1295,Yes,3,,2024-11-19,PA006,Premium Economy,1295.0,Tokyo,London
2024-12-19//PA001//London-New York//Business Class//571.19999999999993,Yes,1,Dairy Free,2024-12-19,PA001,Business Class,571.2,London,New York
2024-02-03//PA008//Perth-New York//Business Class//421.19999999999999,Yes,3,Dairy Free,2024-02-03,PA008,Business Class,421.2,Perth,New York
2024-02-06//PA004//Perth-London//First Class//306,Yes,2,Dairy Free,2024-02-06,PA004,First Class,306.0,Perth,London
2024-04-10//PA011//Perth-Tokyo//Economy//1695,Yes,0,Vegetarian,2024-04-10,PA011,Economy,1695.0,Perth,Tokyo
2024-11-21//PA006//Tokyo-London//Business Class//367.19999999999999,Yes,0,,2024-11-21,PA006,Business Class,367.2,Tokyo,London
2024-02-16//PA003//London-Perth//First Class//618,Yes,3,Nut Free,2024-02-16,PA003,First Class,618.0,London,Perth
2024-12-02//PA001//London-New York//Premium Economy//1037.5,Yes,3,Vegetarian,2024-12-02,PA001,Premium Economy,1037.5,London,New York
2024-08-11//PA008//Perth-New York//Business Class//294,Yes,3,Vegan,2024-08-11,PA008,Business Class,294.0,Perth,New York
2024-12-11//PA008//Perth-New York//Business Class//834,Yes,0,Egg Free,2024-12-11,PA008,Business Class,834.0,Perth,New York
2024-04-09//PA008//Perth-New York//Premium Economy//1307.5,Yes,0,,2024-04-09,PA008,Premium Economy,1307.5,Perth,New York
2024-03-06//PA006//Tokyo-London//Premium Economy//1220,Yes,2,Nut Free,2024-03-06,PA006,Premium Economy,1220.0,Tokyo,London
2024-10-25//PA007//New York-Perth//First Class//485,Yes,3,Dairy Free,2024-10-25,PA007,First Class,485.0,New York,Perth
2024-07-11//PA002//New York-London//Economy//3080,Yes,2,Nut Free,2024-07-11,PA002,Economy,3080.0,New York,London
2024-03-13//PA005//London-Tokyo//First Class//518,Yes,1,Dairy Free,2024-03-13,PA005,First Class,518.0,London,Tokyo
2024-01-24//PA011//Perth-Tokyo//Economy//3060,Yes,3,Vegan,2024-01-24,PA011,Economy,3060.0,Perth,Tokyo
2024-09-17//PA001//London-New York//Economy//2000,Yes,3,Vegan,2024-09-17,PA001,Economy,2000.0,London,New York
2024-08-08//PA001//London-New York//First Class//627,Yes,1,Nut Free,2024-08-08,PA001,First Class,627.0,London,New York
2024-12-23//PA009//New York-Tokyo//Premium Economy//922.5,Yes,2,Egg Free,2024-12-23,PA009,Premium Economy,922.5,New York,Tokyo
2024-05-14//PA001//London-New York//Business Class//583.19999999999993,Yes,2,Vegan,2024-05-14,PA001,Business Class,583.2,London,New York
2024-02-15//PA008//Perth-New York//Premium Economy//1732.5,Yes,3,Nut Free,2024-02-15,PA008,Premium Economy,1732.5,Perth,New York
2024-10-02//PA010//Tokyo-New York//Premium Economy//927.5,Yes,3,Vegetarian,2024-10-02,PA010,Premium Economy,927.5,Tokyo,New York
2024-09-16//PA001//London-New York//Economy//2415,Yes,2,,2024-09-16,PA001,Economy,2415.0,London,New York
2024-07-10//PA009//New York-Tokyo//Premium Economy//1142.5,Yes,2,,2024-07-10,PA009,Premium Economy,1142.5,New York,Tokyo
2024-08-12//PA003//London-Perth//Economy//2750,Yes,1,Dairy Free,2024-08-12,PA003,Economy,2750.0,London,Perth
2024-03-06//PA012//Tokyo-Perth//Economy//1380,Yes,0,Egg Free,2024-03-06,PA012,Economy,1380.0,Tokyo,Perth
2024-01-28//PA004//Perth-London//Economy//2990,Yes,3,Nut Free,2024-01-28,PA004,Economy,2990.0,Perth,London
2024-07-24//PA012//Tokyo-Perth//Premium Economy//1075,Yes,0,Vegetarian,2024-07-24,PA012,Premium Economy,1075.0,Tokyo,Perth
2024-01-17//PA010//Tokyo-New York//Premium Economy//1325,Yes,0,Nut Free,2024-01-17,PA010,Premium Economy,1325.0,Tokyo,New York
2024-03-01//PA004//Perth-London//Premium Economy//1447.5,Yes,3,,2024-03-01,PA004,Premium Economy,1447.5,Perth,London
2024-09-02//PA006//Tokyo-London//First Class//642,Yes,1,Vegetarian,2024-09-02,PA006,First Class,642.0,Tokyo,London
2024-10-23//PA009//New York-Tokyo//Premium Economy//740,Yes,0,Egg Free,2024-10-23,PA009,Premium Economy,740.0,New York,Tokyo
2024-07-16//PA012//Tokyo-Perth//Economy//1170,Yes,2,Dairy Free,2024-07-16,PA012,Economy,1170.0,Tokyo,Perth
2024-04-04//PA009//New York-Tokyo//First Class//691,Yes,3,Egg Free,2024-04-04,PA009,First Class,691.0,New York,Tokyo
2024-07-31//PA005//London-Tokyo//Business Class//577.19999999999993,Yes,3,Nut Free,2024-07-31,PA005,Business Class,577.2,London,Tokyo
2024-10-22//PA006//Tokyo-London//Premium Economy//1020,Yes,1,Egg Free,2024-10-22,PA006,Premium Economy,1020.0,Tokyo,London
2024-08-24//PA004//Perth-London//Economy//2985,Yes,2,Vegan,2024-08-24,PA004,Economy,2985.0,Perth,London
2024-03-23//PA003//London-Perth//Premium Economy//1302.5,Yes,3,Vegetarian,2024-03-23,PA003,Premium Economy,1302.5,London,Perth
2024-07-20//PA007//New York-Perth//Premium Economy//1677.5,Yes,0,Dairy Free,2024-07-20,PA007,Premium Economy,1677.5,New York,Perth
2024-05-11//PA005//London-Tokyo//Business Class//747.60000000000002,Yes,1,Nut Free,2024-05-11,PA005,Business Class,747.6,London,Tokyo
2024-11-30//PA004//Perth-London//Premium Economy//1357.5,Yes,2,Nut Free,2024-11-30,PA004,Premium Economy,1357.5,Perth,London
2024-04-20//PA006//Tokyo-London//Economy//3015,Yes,0,Nut Free,2024-04-20,PA006,Economy,3015.0,Tokyo,London
2024-02-19//PA008//Perth-New York//Economy//2515,Yes,2,Egg Free,2024-02-19,PA008,Economy,2515.0,Perth,New York
2024-04-27//PA007//New York-Perth//First Class//689,Yes,0,Vegan,2024-04-27,PA007,First Class,689.0,New York,Perth
2024-11-10//PA009//New York-Tokyo//Premium Economy//1225,Yes,3,Nut Free,2024-11-10,PA009,Premium Economy,1225.0,New York,Tokyo
2024-03-29//PA009//New York-Tokyo//First Class//500,Yes,1,Egg Free,2024-03-29,PA009,First Class,500.0,New York,Tokyo
2024-01-17//PA005//London-Tokyo//Premium Economy//942.5,Yes,3,Nut Free,2024-01-17,PA005,Premium Economy,942.5,London,Tokyo
2024-03-17//PA001//London-New York//Economy//2880,Yes,0,,2024-03-17,PA001,Economy,2880.0,London,New York
2024-09-02//PA007//New York-Perth//First Class//570,Yes,1,Vegan,2024-09-02,PA007,First Class,570.0,New York,Perth
2024-09-25//PA003//London-Perth//Business Class//762,Yes,0,Vegan,2024-09-25,PA003,Business Class,762.0,London,Perth
2024-07-21//PA002//New York-London//Economy//2340,Yes,0,Nut Free,2024-07-21,PA002,Economy,2340.0,New York,London
2024-09-07//PA005//London-Tokyo//First Class//388,Yes,0,Vegetarian,2024-09-07,PA005,First Class,388.0,London,Tokyo
2024-11-07//PA007//New York-Perth//First Class//345,Yes,3,Nut Free,2024-11-07,PA007,First Class,345.0,New York,Perth
2024-08-02//PA002//New York-London//Premium Economy//1667.5,Yes,3,Vegetarian,2024-08-02,PA002,Premium Economy,1667.5,New York,London
2024-08-28//PA001//London-New York//Economy//1925,Yes,2,Dairy Free,2024-08-28,PA001,Economy,1925.0,London,New York
2024-02-24//PA005//London-Tokyo//First Class//688,Yes,3,Egg Free,2024-02-24,PA005,First Class,688.0,London,Tokyo
2024-04-14//PA005//London-Tokyo//Premium Economy//665,Yes,1,Nut Free,2024-04-14,PA005,Premium Economy,665.0,London,Tokyo
2024-10-24//PA009//New York-Tokyo//Economy//3235,Yes,0,Vegetarian,2024-10-24,PA009,Economy,3235.0,New York,Tokyo
2024-03-31//PA007//New York-Perth//Premium Economy//935,Yes,3,Vegan,2024-03-31,PA007,Premium Economy,935.0,New York,Perth
2024-06-29//PA002//New York-London//Business Class//452.39999999999998,Yes,1,Vegan,2024-06-29,PA002,Business Class,452.4,New York,London
2024-01-19//PA005//London-Tokyo//Economy//2525,Yes,3,Egg Free,2024-01-19,PA005,Economy,2525.0,London,Tokyo
2024-04-04//PA003//London-Perth//Economy//1325,Yes,1,Nut Free,2024-04-04,PA003,Economy,1325.0,London,Perth
2024-08-10//PA008//Perth-New York//First Class//251,Yes,1,,2024-08-10,PA008,First Class,251.0,Perth,New York
2024-05-05//PA006//Tokyo-London//Economy//1310,Yes,0,Vegan,2024-05-05,PA006,Economy,1310.0,Tokyo,London
2024-12-02//PA001//London-New York//Premium Economy//1255,Yes,2,Dairy Free,2024-12-02,PA001,Premium Economy,1255.0,London,New York
2024-07-10//PA011//Perth-Tokyo//Business Class//241.19999999999999,Yes,2,Egg Free,2024-07-10,PA011,Business Class,241.2,Perth,Tokyo
2024-09-21//PA007//New York-Perth//Premium Economy//807.5,Yes,0,Nut Free,2024-09-21,PA007,Premium Economy,807.5,New York,Perth
2024-10-08//PA008//Perth-New York//Business Class//414,Yes,0,Vegetarian,2024-10-08,PA008,Business Class,414.0,Perth,New York
2024-10-07//PA008//Perth-New York//Economy//2685,Yes,3,Vegan,2024-10-07,PA008,Economy,2685.0,Perth,New York
2024-10-04//PA004//Perth-London//Premium Economy//945,Yes,1,Egg Free,2024-10-04,PA004,Premium Economy,945.0,Perth,London
2024-10-08//PA003//London-Perth//Business Class//758.39999999999998,Yes,1,Egg Free,2024-10-08,PA003,Business Class,758.4,London,Perth
2024-09-15//PA006//Tokyo-London//Premium Economy//1090,Yes,2,Vegan,2024-09-15,PA006,Premium Economy,1090.0,Tokyo,London
2024-07-29//PA001//London-New York//Premium Economy//1477.5,Yes,1,Dairy Free,2024-07-29,PA001,Premium Economy,1477.5,London,New York
2024-09-27//PA012//Tokyo-Perth//Business Class//657.60000000000002,Yes,2,Vegetarian,2024-09-27,PA012,Business Class,657.6,Tokyo,Perth
2024-09-28//PA011//Perth-Tokyo//Business Class//580.79999999999995,Yes,2,,2024-09-28,PA011,Business Class,580.8,Perth,Tokyo
2024-09-23//PA008//Perth-New York//Economy//1205,Yes,1,Dairy Free,2024-09-23,PA008,Economy,1205.0,Perth,New York
2024-07-30//PA007//New York-Perth//Premium Economy//1632.5,Yes,2,Dairy Free,2024-07-30,PA007,Premium Economy,1632.5,New York,Perth
2024-03-15//PA004//Perth-London//First Class//449,Yes,2,Vegan,2024-03-15,PA004,First Class,449.0,Perth,London
2024-04-24//PA011//Perth-Tokyo//Economy//1870,Yes,1,Vegetarian,2024-04-24,PA011,Economy,1870.0,Perth,Tokyo
2024-11-14//PA004//Perth-London//Economy//2290,Yes,2,Nut Free,2024-11-14,PA004,Economy,2290.0,Perth,London
2024-07-07//PA002//New York-London//Business Class//530.39999999999998,Yes,3,Nut Free,2024-07-07,PA002,Business Class,530.4,New York,London
2024-03-02//PA001//London-New York//First Class//323,Yes,0,Vegan,2024-03-02,PA001,First Class,323.0,London,New York
2024-05-08//PA006//Tokyo-London//First Class//440,Yes,2,,2024-05-08,PA006,First Class,440.0,Tokyo,London
2024-09-02//PA012//Tokyo-Perth//Premium Economy//570,Yes,3,Nut Free,2024-09-02,PA012,Premium Economy,570.0,Tokyo,Perth
2024-05-19//PA010//Tokyo-New York//First Class//362,Yes,2,,2024-05-19,PA010,First Class,362.0,Tokyo,New York
2024-10-19//PA002//New York-London//Premium Economy//1130,Yes,0,,2024-10-19,PA002,Premium Economy,1130.0,New York,London
2024-10-03//PA008//Perth-New York//Economy//1140,Yes,0,Vegan,2024-10-03,PA008,Economy,1140.0,Perth,New York
2024-06-10//PA004//Perth-London//First Class//478,Yes,3,Nut Free,2024-06-10,PA004,First Class,478.0,Perth,London
2024-02-02//PA002//New York-London//Economy//1530,Yes,0,Nut Free,2024-02-02,PA002,Economy,1530.0,New York,London
2024-08-29//PA007//New York-Perth//Economy//1265,Yes,3,Nut Free,2024-08-29,PA007,Economy,1265.0,New York,Perth
2024-11-30//PA001//London-New York//First Class//401,Yes,3,Nut Free,2024-11-30,PA001,First Class,401.0,London,New York
2024-12-05//PA004//Perth-London//Business Class//609.60000000000002,Yes,0,,2024-12-05,PA004,Business Class,609.6,Perth,London
2024-11-29//PA009//New York-Tokyo//Economy//2375,Yes,0,Vegetarian,2024-11-29,PA009,Economy,2375.0,New York,Tokyo
2024-10-25//PA010//Tokyo-New York//First Class//466,Yes,1,Nut Free,2024-10-25,PA010,First Class,466.0,Tokyo,New York
2024-08-28//PA005//London-Tokyo//Premium Economy//1122.5,Yes,2,Dairy Free,2024-08-28,PA005,Premium Economy,1122.5,London,Tokyo
2024-06-15//PA001//London-New York//Premium Economy//1005,Yes,3,Vegan,2024-06-15,PA001,Premium Economy,1005.0,London,New York
2024-12-26//PA008//Perth-New York//First Class//297,Yes,3,,2024-12-26,PA008,First Class,297.0,Perth,New York
2024-05-17//PA002//New York-London//Premium Economy//1547.5,Yes,2,Dairy Free,2024-05-17,PA002,Premium Economy,1547.5,New York,London
2024-07-30//PA004//Perth-London//First Class//552,Yes,0,,2024-07-30,PA004,First Class,552.0,Perth,London
2024-11-04//PA008//Perth-New York//Business Class//432,Yes,0,Egg Free,2024-11-04,PA008,Business Class,432.0,Perth,New York
2024-10-20//PA006//Tokyo-London//Premium Economy//802.5,Yes,1,,2024-10-20,PA006,Premium Economy,802.5,Tokyo,London
2024-03-29//PA012//Tokyo-Perth//Business Class//508.79999999999995,Yes,2,Dairy Free,2024-03-29,PA012,Business Class,508.8,Tokyo,Perth
2024-07-26//PA002//New York-London//Economy//2885,Yes,0,Vegetarian,2024-07-26,PA002,Economy,2885.0,New York,London
2024-10-04//PA003//London-Perth//Business Class//711.60000000000002,Yes,1,Egg Free,2024-10-04,PA003,Business Class,711.6,London,Perth
2024-12-01//PA010//Tokyo-New York//Premium Economy//1677.5,Yes,0,Nut Free,2024-12-01,PA010,Premium Economy,1677.5,Tokyo,New York
2024-03-09//PA012//Tokyo-Perth//Premium Economy//840,Yes,0,Nut Free,2024-03-09,PA012,Premium Economy,840.0,Tokyo,Perth
2024-08-23//PA002//New York-London//Economy//2010,Yes,2,Dairy Free,2024-08-23,PA002,Economy,2010.0,New York,London
2024-06-25//PA005//London-Tokyo//Premium Economy//1152.5,Yes,2,,2024-06-25,PA005,Premium Economy,1152.5,London,Tokyo
2024-04-16//PA003//London-Perth//Premium Economy//825,Yes,3,Dairy Free,2024-04-16,PA003,Premium Economy,825.0,London,Perth
2024-06-11//PA005//London-Tokyo//First Class//468,Yes,1,Nut Free,2024-06-11,PA005,First Class,468.0,London,Tokyo
2024-08-13//PA007//New York-Perth//Business Class//302.39999999999998,Yes,2,,2024-08-13,PA007,Business Class,302.4,New York,Perth
2024-05-20//PA001//London-New York//Business Class//799.19999999999993,Yes,0,Nut Free,2024-05-20,PA001,Business Class,799.2,London,New York
2024-01-15//PA009//New York-Tokyo//Business Class//397.19999999999999,Yes,3,Dairy Free,2024-01-15,PA009,Business Class,397.2,New York,Tokyo
2024-05-21//PA001//London-New York//First Class//493,Yes,0,Vegan,2024-05-21,PA001,First Class,493.0,London,New York
2024-06-07//PA008//Perth-New York//Economy//2110,Yes,0,Egg Free,2024-06-07,PA008,Economy,2110.0,Perth,New York
2024-01-23//PA011//Perth-Tokyo//First Class//635,Yes,2,,2024-01-23,PA011,First Class,635.0,Perth,Tokyo
2024-07-31//PA002//New York-London//First Class//392,Yes,0,,2024-07-31,PA002,First Class,392.0,New York,London
2024-09-05//PA006//Tokyo-London//Economy//3345,Yes,3,,2024-09-05,PA006,Economy,3345.0,Tokyo,London
2024-01-21//PA009//New York-Tokyo//Business Class//352.80000000000001,Yes,0,Egg Free,2024-01-21,PA009,Business Class,352.8,New York,Tokyo
2024-04-15//PA011//Perth-Tokyo//First Class//334,Yes,1,,2024-04-15,PA011,First Class,334.0,Perth,Tokyo
2024-10-01//PA012//Tokyo-Perth//First Class//382,Yes,1,,2024-10-01,PA012,First Class,382.0,Tokyo,Perth
2024-01-17//PA002//New York-London//Business Class//672,Yes,2,Vegan,2024-01-17,PA002,Business Class,672.0,New York,London
2024-03-22//PA011//Perth-Tokyo//First Class//563,Yes,0,Nut Free,2024-03-22,PA011,First Class,563.0,Perth,Tokyo
2024-02-23//PA012//Tokyo-Perth//Business Class//472.79999999999995,Yes,0,Dairy Free,2024-02-23,PA012,Business Class,472.8,Tokyo,Perth
2024-12-09//PA011//Perth-Tokyo//Economy//3460,Yes,0,Vegan,2024-12-09,PA011,Economy,3460.0,Perth,Tokyo
2024-05-19//PA009//New York-Tokyo//Business Class//685.19999999999993,Yes,3,Egg Free,2024-05-19,PA009,Business Class,685.2,New York,Tokyo
2024-02-12//PA005//London-Tokyo//Premium Economy//1157.5,Yes,0,Vegan,2024-02-12,PA005,Premium Economy,1157.5,London,Tokyo
2024-04-25//PA001//London-New York//First Class//295,Yes,3,,2024-04-25,PA001,First Class,295.0,London,New York
2024-10-08//PA003//London-Perth//Business Class//655.19999999999993,Yes,1,Egg Free,2024-10-08,PA003,Business Class,655.2,London,Perth
2024-02-12//PA011//Perth-Tokyo//First Class//207,Yes,3,Vegetarian,2024-02-12,PA011,First Class,207.0,Perth,Tokyo
2024-06-26//PA008//Perth-New York//Premium Economy//1592.5,Yes,0,Vegan,2024-06-26,PA008,Premium Economy,1592.5,Perth,New York
2024-11-09//PA012//Tokyo-Perth//First Class//275,Yes,2,Vegetarian,2024-11-09,PA012,First Class,275.0,Tokyo,Perth
2024-05-22//PA006//Tokyo-London//Business Class//660,Yes,1,Vegan,2024-05-22,PA006,Business Class,660.0,Tokyo,London
2024-08-05//PA007//New York-Perth//Business Class//481.19999999999999,Yes,3,Egg Free,2024-08-05,PA007,Business Class,481.2,New York,Perth
2024-05-10//PA011//Perth-Tokyo//Premium Economy//1277.5,Yes,2,Egg Free,2024-05-10,PA011,Premium Economy,1277.5,Perth,Tokyo
2024-02-11//PA012//Tokyo-Perth//Business Class//595.19999999999993,Yes,1,,2024-02-11,PA012,Business Class,595.2,Tokyo,Perth
2024-07-25//PA004//Perth-London//Business Class//822,Yes,1,Nut Free,2024-07-25,PA004,Business Class,822.0,Perth,London
2024-12-25//PA004//Perth-London//Business Class//303.59999999999997,Yes,2,Vegan,2024-12-25,PA004,Business Class,303.6,Perth,London
2024-06-27//PA012//Tokyo-Perth//Business Class//835.19999999999993,Yes,2,Dairy Free,2024-06-27,PA012,Business Class,835.2,Tokyo,Perth
2024-08-09//PA008//Perth-New York//First Class//665,Yes,3,,2024-08-09,PA008,First Class,665.0,Perth,New York
2024-04-15//PA006//Tokyo-London//First Class//678,Yes,1,Egg Free,2024-04-15,PA006,First Class,678.0,Tokyo,London
2024-10-05//PA012//Tokyo-Perth//Business Class//252,Yes,1,,2024-10-05,PA012,Business Class,252.0,Tokyo,Perth
2024-06-12//PA007//New York-Perth//Business Class//721.19999999999993,Yes,3,Vegetarian,2024-06-12,PA007,Business Class,721.2,New York,Perth
2024-10-23//PA002//New York-London//Business Class//276,Yes,2,Nut Free,2024-10-23,PA002,Business Class,276.0,New York,London
2024-06-05//PA005//London-Tokyo//First Class//539,Yes,0,Dairy Free,2024-06-05,PA005,First Class,539.0,London,Tokyo
2024-05-01//PA010//Tokyo-New York//Economy//1250,Yes,0,Vegan,2024-05-01,PA010,Economy,1250.0,Tokyo,New York
2024-10-18//PA001//London-New York//Business Class//331.19999999999999,Yes,1,,2024-10-18,PA001,Business Class,331.2,London,New York
2024-09-10//PA012//Tokyo-Perth//Business Class//823.19999999999993,Yes,0,Vegan,2024-09-10,PA012,Business Class,823.2,Tokyo,Perth
2024-08-09//PA007//New York-Perth//Business Class//241.19999999999999,Yes,3,Dairy Free,2024-08-09,PA007,Business Class,241.2,New York,Perth
2024-08-27//PA002//New York-London//Business Class//470.39999999999998,Yes,1,Nut Free,2024-08-27,PA002,Business Class,470.4,New York,London
2024-02-15//PA011//Perth-Tokyo//First Class//371,Yes,0,Nut Free,2024-02-15,PA011,First Class,371.0,Perth,Tokyo
2024-11-21//PA003//London-Perth//First Class//469,Yes,1,Vegetarian,2024-11-21,PA003,First Class,469.0,London,Perth
2024-02-02//PA001//London-New York//Business Class//358.80000000000001,Yes,0,Vegan,2024-02-02,PA001,Business Class,358.8,London,New York
2024-12-13//PA008//Perth-New York//First Class//208,Yes,2,Nut Free,2024-12-13,PA008,First Class,208.0,Perth,New York
2024-07-02//PA003//London-Perth//First Class//357,Yes,0,Dairy Free,2024-07-02,PA003,First Class,357.0,London,Perth
2024-11-02//PA007//New York-Perth//Premium Economy//885,Yes,2,Nut Free,2024-11-02,PA007,Premium Economy,885.0,New York,Perth
2024-09-29//PA002//New York-London//Business Class//260.39999999999998,Yes,0,Vegetarian,2024-09-29,PA002,Business Class,260.4,New York,London
2024-07-24//PA009//New York-Tokyo//Economy//2040,Yes,2,Dairy Free,2024-07-24,PA009,Economy,2040.0,New York,Tokyo
2024-08-16//PA008//Perth-New York//Premium Economy//765,Yes,1,Nut Free,2024-08-16,PA008,Premium Economy,765.0,Perth,New York
2024-08-21//PA010//Tokyo-New York//Economy//1225,Yes,2,Nut Free,2024-08-21,PA010,Economy,1225.0,Tokyo,New York
2024-03-18//PA002//New York-London//Premium Economy//1617.5,Yes,3,Vegetarian,2024-03-18,PA002,Premium Economy,1617.5,New York,London
2024-12-20//PA001//London-New York//First Class//473,Yes,1,,2024-12-20,PA001,First Class,473.0,London,New York
2024-02-03//PA005//London-Tokyo//Business Class//330,Yes,3,Vegan,2024-02-03,PA005,Business Class,330.0,London,Tokyo
2024-08-17//PA001//London-New York//Premium Economy//522.5,Yes,1,Vegan,2024-08-17,PA001,Premium Economy,522.5,London,New York
2024-08-25//PA002//New York-London//First Class//370,Yes,1,,2024-08-25,PA002,First Class,370.0,New York,London
2024-09-18//PA011//Perth-Tokyo//Business Class//694.79999999999995,Yes,0,Dairy Free,2024-09-18,PA011,Business Class,694.8,Perth,Tokyo
2024-02-16//PA010//Tokyo-New York//First Class//340,Yes,1,,2024-02-16,PA010,First Class,340.0,Tokyo,New York
2024-05-01//PA005//London-Tokyo//Economy//1810,Yes,0,Dairy Free,2024-05-01,PA005,Economy,1810.0,London,Tokyo
2024-09-08//PA006//Tokyo-London//Economy//1865,Yes,1,Dairy Free,2024-09-08,PA006,Economy,1865.0,Tokyo,London
2024-07-10//PA010//Tokyo-New York//Economy//2920,Yes,3,Vegan,2024-07-10,PA010,Economy,2920.0,Tokyo,New York
2024-03-29//PA007//New York-Perth//First Class//698,Yes,3,Vegan,2024-03-29,PA007,First Class,698.0,New York,Perth
2024-02-07//PA004//Perth-London//Premium Economy//1045,Yes,0,Egg Free,2024-02-07,PA004,Premium Economy,1045.0,Perth,London
2024-03-11//PA010//Tokyo-New York//First Class//561,Yes,0,,2024-03-11,PA010,First Class,561.0,Tokyo,New York
2024-11-28//PA004//Perth-London//Economy//1220,Yes,3,Egg Free,2024-11-28,PA004,Economy,1220.0,Perth,London
2024-06-12//PA001//London-New York//Business Class//328.80000000000001,Yes,1,Egg Free,2024-06-12,PA001,Business Class,328.8,London,New York
2024-02-28//PA003//London-Perth//First Class//660,Yes,1,Vegan,2024-02-28,PA003,First Class,660.0,London,Perth
2024-11-12//PA006//Tokyo-London//Business Class//546,Yes,1,Vegan,2024-11-12,PA006,Business Class,546.0,Tokyo,London
2024-05-28//PA007//New York-Perth//First Class//622,Yes,0,Egg Free,2024-05-28,PA007,First Class,622.0,New York,Perth
2024-04-13//PA010//Tokyo-New York//First Class//283,Yes,3,Dairy Free,2024-04-13,PA010,First Class,283.0,Tokyo,New York
2024-05-06//PA004//Perth-London//Economy//1905,Yes,0,Nut Free,2024-05-06,PA004,Economy,1905.0,Perth,London
2024-11-11//PA011//Perth-Tokyo//Premium Economy//1080,Yes,2,Vegetarian,2024-11-11,PA011,Premium Economy,1080.0,Perth,Tokyo
2024-10-21//PA008//Perth-New York//Premium Economy//1212.5,Yes,2,Nut Free,2024-10-21,PA008,Premium Economy,1212.5,Perth,New York
2024-12-02//PA004//Perth-London//Economy//2870,Yes,2,Vegetarian,2024-12-02,PA004,Economy,2870.0,Perth,London
2024-11-15//PA001//London-New York//Premium Economy//1590,Yes,3,Vegetarian,2024-11-15,PA001,Premium Economy,1590.0,London,New York
2024-10-25//PA006//Tokyo-London//Business Class//726,Yes,1,Dairy Free,2024-10-25,PA006,Business Class,726.0,Tokyo,London
2024-01-17//PA010//Tokyo-New York//Premium Economy//1417.5,Yes,1,Vegan,2024-01-17,PA010,Premium Economy,1417.5,Tokyo,New York
2024-04-14//PA011//Perth-Tokyo//Business Class//249.59999999999999,Yes,1,Nut Free,2024-04-14,PA011,Business Class,249.6,Perth,Tokyo
2024-08-26//PA007//New York-Perth//Business Class//342,Yes,3,Dairy Free,2024-08-26,PA007,Business Class,342.0,New York,Perth
2024-11-05//PA009//New York-Tokyo//Economy//2825,Yes,3,Vegetarian,2024-11-05,PA009,Economy,2825.0,New York,Tokyo
2024-04-27//PA001//London-New York//First Class//633,Yes,0,Egg Free,2024-04-27,PA001,First Class,633.0,London,New York
2024-03-10//PA010//Tokyo-New York//Premium Economy//1480,Yes,2,,2024-03-10,PA010,Premium Economy,1480.0,Tokyo,New York
2024-06-28//PA002//New York-London//Economy//1890,Yes,1,Vegetarian,2024-06-28,PA002,Economy,1890.0,New York,London
2024-05-01//PA002//New York-London//Business Class//697.19999999999993,Yes,1,Dairy Free,2024-05-01,PA002,Business Class,697.2,New York,London
2024-04-05//PA003//London-Perth//First Class//315,Yes,3,Egg Free,2024-04-05,PA003,First Class,315.0,London,Perth
2024-11-10//PA008//Perth-New York//First Class//554,Yes,1,Egg Free,2024-11-10,PA008,First Class,554.0,Perth,New York
2024-12-02//PA001//London-New York//First Class//543,Yes,2,Vegetarian,2024-12-02,PA001,First Class,543.0,London,New York
2024-05-09//PA003//London-Perth//Business Class//796.79999999999995,Yes,0,,2024-05-09,PA003,Business Class,796.8,London,Perth
2024-08-04//PA008//Perth-New York//Economy//1740,Yes,1,Dairy Free,2024-08-04,PA008,Economy,1740.0,Perth,New York
2024-07-02//PA009//New York-Tokyo//Business Class//694.79999999999995,Yes,2,Dairy Free,2024-07-02,PA009,Business Class,694.8,New York,Tokyo
2024-06-27//PA007//New York-Perth//Premium Economy//720,Yes,2,Vegan,2024-06-27,PA007,Premium Economy,720.0,New York,Perth
2024-03-21//PA005//London-Tokyo//Economy//1370,Yes,0,Vegan,2024-03-21,PA005,Economy,1370.0,London,Tokyo
2024-04-14//PA004//Perth-London//Business Class//362.39999999999998,Yes,0,Dairy Free,2024-04-14,PA004,Business Class,362.4,Perth,London
2024-02-13//PA010//Tokyo-New York//Premium Economy//1647.5,Yes,0,Dairy Free,2024-02-13,PA010,Premium Economy,1647.5,Tokyo,New York
2024-06-28//PA001//London-New York//Business Class//550.79999999999995,Yes,2,Vegetarian,2024-06-28,PA001,Business Class,550.8,London,New York
